1,aljunied road (avant residences),1.313604,103.882294,1,39,326,200807,8
20,geylang road,1.313431,103.883767,1,39,326,200807,8
3,geylang east avenue 1,1.3174211,103.8855544,1,39,326,200807,8
1,geylang east avenue 2,1.3179983,103.8890095,1,39,326,200807,8
18,geylang east avenue 1 (central grove),1.315965,103.884659,1,39,326,200807,8
7,geylang east avenue 1 (block 132),1.3162132,103.8858256,1,39,326,200807,8
6,geylang east avenue 1 (block 133),1.3163949,103.8854669,1,39,326,200807,8
4,geylang east avenue 1 (block 134),1.315968,103.885892,1,39,326,200807,8
2,geylang east central (block 120),1.3181989,103.884718,1,39,326,200807,8
3,geylang east central (block 122),1.3177053,103.8849042,1,39,326,200807,8
8,guillemard road,1.31127,103.8857029,1,39,326,200807,8
1,guillemard road (guillemard edge),1.311853,103.886175,1,39,326,200807,8
4,guillemard road (guillemard suites),1.310716,103.882551,1,39,326,200807,8
4,guillemard road (guillemard view),1.311094,103.884872,1,39,326,200807,8
11,jalan molek,1.3115722,103.882711,1,39,326,200807,8
5,jalan suka,1.312195,103.882622,1,39,326,200807,8
14,lorong 22 geylang,1.3121935,103.8822215,1,39,326,200807,8
3,lorong 22 geylang (grandview suites),1.313156,103.882231,1,39,326,200807,8
6,lorong 24 geylang,1.3122157,103.8833463,1,39,326,200807,8
4,lorong 24 geylang (#1 loft),1.312903,103.883539,1,39,326,200807,8
2,lorong 24 geylang (the octet),1.312182,103.883548,1,39,326,200807,8
7,lorong 24a geylang,1.312143,103.8840533,1,39,326,200807,8
2,lorong 25 geylang,1.3143003,103.8825381,1,39,326,200807,8
16,lorong 25a geylang,1.3151949,103.883079,1,39,326,200807,8
3,lorong 25a geylang (centra suites),1.314707,103.883256,1,39,326,200807,8
12,lorong 26 geylang,1.313615,103.884772,1,39,326,200807,8
1,lorong 26 geylang (case aerata),1.312373,103.885048,1,39,326,200807,8
2,lorong 26 geylang (la fleur),1.312411,103.884627,1,39,326,200807,8
4,lorong 26 geylang (rezi 26),1.312971,103.885148,1,39,326,200807,8
14,lorong 27 geylang,1.315297,103.8837269,1,39,326,200807,8
18,lorong 27 geylang (the alcove),1.3146681,103.8841387,1,39,326,200807,8
1,lorong 27 geylang (the centren),1.313955,103.883572,1,39,326,200807,8
9,lorong 27a geylang,1.3150183,103.8848457,1,39,326,200807,8
13,lorong 27a geylang (sims green),1.314382,103.884621,1,39,326,200807,8
24,lorong 28 geylang,1.311471,103.885631,1,39,326,200807,8
4,lorong 28 geylang (edenz suites),1.312935,103.885658,1,39,326,200807,8
3,lorong 28 geylang (la brisa),1.311882,103.885447,1,39,326,200807,8
8,lorong 29 geylang,1.3157568,103.886116,1,39,326,200807,8
1,lorong 29 geylang (torieview mansions),1.314388,103.885903,1,39,326,200807,8
19,lorong 30 geylang,1.3135932,103.8862916,1,39,326,200807,8
5,lorong 30 geylang (guillemard edge),1.311959,103.886024,1,39,326,200807,8
5,lorong 30 geylang (idyllic suites),1.312824,103.886382,1,39,326,200807,8
6,lorong 30 geylang (suites 28),1.312513,103.886321,1,39,326,200807,8
11,lorong 32 geylang,1.311914,103.886988,1,39,326,200807,8
2,lorong 32 geylang (ness),1.312661,103.886908,1,39,326,200807,8
9,sims avenue,1.3158597,103.8867148,1,39,326,200807,8
3,bukit panjang ring road (block 537),1.3838409,103.7629971,2,11,295,200807,8
5,bukit panjang ring road (block 539),1.383058,103.763161,2,11,295,200807,8
4,bukit panjang ring road (block 541),1.3825274,103.7633045,2,11,295,200807,8
5,bukit panjang ring road (block 545),1.381698,103.763460,2,11,295,200807,8
28,bukit panjang ring road (block 609),1.382990,103.761919,2,11,295,200807,8
12,bukit panjang ring road (block 611),1.383905,103.761741,2,11,295,200807,8
6,bukit panjang ring road (block 613),1.384574,103.762003,2,11,295,200807,8
11,bukit panjang ring road (block 615),1.385331,103.762145,2,11,295,200807,8
1,bukit panjang ring road (block 617),1.385573,103.762729,2,11,295,200807,8
